vuosi,kuukausi,name,syntyneet,syntyneet (+9kk),indeksi,naudanliha,sianliha,kahvi,as.vuokrat,sähkö,nest.polttoaineet,lämpöenergia,liikenne,polttoaineet,taksimatkat
2005,1,2005M01,4783,4792,99.09,96.16,99.54,88.73,98.81,100.68,81.92,95.2,96.85,89.64,97.44
2005,2,2005M02,4311,4438,99.79,96.68,98.83,92.73,99.15,100.3,82.61,100.03,97.27,92.02,97.44
2005,3,2005M03,4909,4617,100.09,96.86,98.73,96.61,99.35,100.14,93.26,100.03,97.73,93.28,97.44
2005,4,2005M04,4878,4868,100.19,98.05,98.67,96.13,99.64,99.66,92.39,100.03,99.7,100.14,100.85
2005,5,2005M05,4964,4617,99.91,99.73,101.9,100.96,99.65,99.23,89.82,100.03,98.84,96.49,100.85
2005,6,2005M06,4841,5170,100.02,101.04,100.92,101.27,99.88,99.08,104.25,100.03,100.07,98.79,100.85
2005,7,2005M07,5070,4914,99.59,100.89,100.67,102.19,100.17,99.08,105.45,100.03,101.73,103.68,100.85
2005,8,2005M08,5151,4999,99.96,99.92,100.77,104.26,100.13,98.92,108.54,100.03,101.51,104.68,100.85
2005,9,2005M09,4991,5029,100.5,103.77,100.6,104.76,100.6,100.2,113.35,101.13,103.04,110.82,100.85
2005,10,2005M10,4792,5037,100.42,102.1,101.08,104.82,100.54,100.51,117.47,101.13,102.58,109.08,100.85
2005,11,2005M11,4438,5167,100.18,103.04,98.55,103.85,101.12,100.96,106.65,101.13,100.36,100.89,100.85
2005,12,2005M12,4617,4975,100.2,101.69,99.7,103.61,100.91,101.18,104.25,101.13,100.26,100.43,100.85
2006,1,2006M01,4868,4899,99.88,101.63,99.29,102.96,101.13,103.19,106.31,101.13,100.34,101.11,100.85
2006,2,2006M02,4617,4686,100.68,101.2,100.1,103.66,101.37,103.19,107.68,109.02,101.12,103.07,100.85
2006,3,2006M03,5170,4479,100.99,101.62,99.95,102.18,101.62,103.19,109.4,109.02,101.2,102.78,100.85
2006,4,2006M04,4914,5009,101.52,101.89,100.68,102.63,102.06,103.23,115.93,109.02,103.26,108.95,100.85
2006,5,2006M05,4999,4465,101.64,104.03,101.38,103.04,102.21,103.98,119.02,109.02,103.19,110.48,100.85
2006,6,2006M06,5029,5079,101.74,104.02,101.51,103.51,102.12,103.98,116.44,109.02,103.84,109.43,100.85
2006,7,2006M07,5037,4906,101.47,103.94,102.45,105.41,102.52,103.98,117.47,109.02,105.43,114.02,106.22
2006,8,2006M08,5167,5175,101.86,104.83,103.33,105.34,102.41,105.92,122.28,109.02,104.28,112.63,106.22
2006,9,2006M09,4975,4878,102,105.45,102.75,106.53,102.47,105.92,106.99,112.42,102.32,104.91,106.22
2006,10,2006M10,4899,5049,102.27,105.82,101.3,105.97,103.04,105.92,103.22,112.42,101.72,100.87,106.22
2006,11,2006M11,4686,5191,102.32,105.98,103.15,106.09,103.01,108.72,100.64,112.42,100.4,99.36,106.22
2006,12,2006M12,4479,4921,102.43,106.16,102.63,103.73,103.1,110.3,100.12,112.42,100.3,99.28,106.22
2007,1,2007M01,5009,4886,102.22,107.06,104.54,104.53,103.62,111.25,93.6,115.5,100.07,97.01,106.22
2007,2,2007M02,4465,4598,102.86,107.46,103.9,107.39,103.73,111.57,97.55,115.5,100.35,98.28,106.22
2007,3,2007M03,5079,4572,103.64,107.64,104.17,103.77,103.96,111.34,99.78,115.5,102.35,103.2,106.22
2007,4,2007M04,4906,5024,104.14,108.02,104.1,104.77,104.28,110.2,105.11,115.5,102.87,105.49,106.22
2007,5,2007M05,5175,4837,104.03,109.13,104.83,105.12,104.49,110.36,103.9,115.5,103.48,108.92,106.22
2007,6,2007M06,4878,5095,104.18,110.26,104.94,105.8,104.57,109.8,107.34,115.5,104.19,109.31,106.22
2007,7,2007M07,5049,5034,104.07,109.85,104.84,106.22,105.09,109.72,112.32,115.5,104.67,110.27,106.22
2007,8,2007M08,5191,4981,104.22,109.17,104.51,106.57,105.05,109.89,108.88,115.5,103.83,107.65,110.16
2007,9,2007M09,4921,4980,104.69,110.37,105.18,107.48,104.81,110.47,115.24,116.57,103.15,107.19,110.16
2007,10,2007M10,4886,5258,105.01,109.81,104.46,107.41,106.16,110.48,115.24,116.57,103.12,105.74,110.16
2007,11,2007M11,4598,5123,105.25,110.42,105.6,106.67,105.9,111.25,126.92,116.57,103.24,111.62,110.16
2007,12,2007M12,4572,5031,105.07,109.98,104.42,106.12,105.64,112.59,124,116.57,102.39,110.29,110.16
2008,1,2008M01,5024,5002,106.15,112.63,110.09,107.78,106.23,119.46,131.9,125.78,104.57,117.69,110.16
2008,2,2008M02,4837,4604,106.69,114.61,111.07,109.24,106.56,121.01,135.16,125.78,103.99,115.83,110.16
2008,3,2008M03,5095,4561,107.64,116.82,111.19,109.94,107.25,121.68,144.95,125.78,105.18,117.84,110.16
2008,4,2008M04,5034,5040,107.8,117.19,111.4,116.67,108.23,122.18,147.87,125.78,105.17,117.72,110.16
2008,5,2008M05,4981,4568,108.37,121.31,112.14,116.21,108.94,122.85,169.85,126.17,106.37,122.82,110.16
2008,6,2008M06,4980,5184,108.76,121.34,112.52,114.57,109.19,123.88,176.04,126.17,108.71,131.01,110.16
2008,7,2008M07,5258,5113,108.6,123.23,111.7,117.14,109.31,124.36,175.69,126.17,109.22,131.43,118.55
2008,8,2008M08,5123,5052,109.08,123.26,111.23,117.36,109.66,126.42,152.34,126.17,107.26,125.86,118.55
2008,9,2008M09,5031,5121,109.62,124.9,111.09,115.75,109.78,127.86,152.34,131.1,107.58,124.59,118.55
2008,10,2008M10,5002,5327,109.6,125.33,111.9,116.53,109.72,129.24,133.27,131.1,106.19,116.51,118.55
2008,11,2008M11,4604,5323,109.05,127.23,113.17,116.64,109.91,130.81,115.58,131.1,101.53,103.53,118.55
2008,12,2008M12,4561,5130,108.72,126.58,112.33,113.1,110.24,131.53,94.63,131.1,99.59,96.37,118.55
2009,1,2009M01,5040,5002,108.46,128.44,113.89,114.85,110.71,132.77,98.58,131.1,98.84,95.51,118.55
2009,2,2009M02,4568,4722,108.55,127.69,114.83,114.25,112.1,132.95,95.49,131.1,99.86,98.37,118.55
2009,3,2009M03,5184,4848,108.63,125.66,114.38,112.07,112.96,134.3,89.65,150.03,100.01,98.31,118.55
2009,4,2009M04,5113,5007,108.61,126.98,114.4,113.49,112.77,133.43,96.86,150.03,100.39,100.37,118.55
2009,5,2009M05,5052,4733,108.41,127.51,114.45,110.96,113.65,132.58,98.75,150.03,101.76,105.37,118.55
2009,6,2009M06,5121,5297,108.67,129.33,114.04,112.21,114.57,131.99,108.02,150.03,103.39,109.75,118.55
2009,7,2009M07,5327,4956,107.97,128.11,114.21,112.48,114.24,131.34,98.41,150.03,103.38,109.21,121.39
2009,8,2009M08,5323,5095,108.31,128.68,114.96,119.22,113.98,131.41,111.46,150.03,103.94,110.21,121.39
2009,9,2009M09,5130,5111,108.5,125.37,113.54,120.2,113.77,132.15,105.28,150.03,103.58,107.12,121.39
